Region_ID,Latitude,Longitude,Density_Contrast,Area_Pixels,Is_Undiscovered,Dist_to_Known_km
1202,35.4145,-115.53618090452261,0.5626226,1,True,17.565861789119428
1098,35.4275,-115.51507537688443,0.5624232,1,True,16.7808165503169
1274,35.405499999999996,-115.51608040201005,0.5619056,1,True,19.06761625597511
684,35.5225,-115.4105527638191,0.56166697,1,True,16.79698821884668
1233,35.4115,-115.4678391959799,0.56136864,2,True,20.668547405123448
152,35.5785,-115.47085427135679,0.5608583,1,True,7.8998083742727765
1026,35.4345,-115.51708542713568,0.56042886,1,True,15.973989218581508
270,35.5665,-115.53417085427135,0.5601083,1,True,3.5057878249587597
324,35.5625,-115.4929648241206,0.5598274,1,True,8.100954270985621
1017,35.4355,-115.5281407035176,0.55925775,1,True,15.496511886369083
1123,35.4255,-115.47788944723618,0.559115,1,True,18.76076534957497
503,35.548500000000004,-115.52713567839196,0.55902714,1,True,4.887377383432302
962,35.4505,-115.55326633165829,0.55836517,1,True,13.334507329851172
840,35.4815,-115.44874371859297,0.55820864,1,True,16.26757681609034
913,35.460499999999996,-115.42562814070352,0.556951,2,True,19.722790122294473
1102,35.4275,-115.47688442211056,0.5567857,1,True,18.630022586484564
906,35.4625,-115.52713567839196,0.5566101,1,True,12.671844052390014
462,35.5525,-115.48090452261307,0.5565313,1,True,9.595434694253148
1209,35.4135,-115.5321608040201,0.55614626,1,True,17.762690260065447
401,35.5575,-115.45175879396986,0.5559166,1,True,10.979727373420797
583,35.5415,-115.4356783919598,0.55549407,1,True,13.443888379731955
1126,35.4255,-115.44572864321609,0.5549146,1,True,20.83721732694044
249,35.5685,-115.47286432160804,0.5546861,1,True,8.805454186152843
209,35.5725,-115.44070351758795,0.554299,1,True,10.397226369582041
437,35.5545,-115.50603015075377,0.5542033,1,True,6.8281268597405935
636,35.533500000000004,-115.43065326633166,0.5536614,1,True,14.491755574350867
776,35.5015,-115.43266331658292,0.55273813,2,True,16.59580984603779
1232,35.4115,-115.48291457286432,0.55270493,1,True,19.841546244040188
1174,35.4185,-115.53819095477387,0.5519774,1,True,17.088706728053616
605,35.5385,-115.45276381909548,0.5516471,1,True,12.766904972665136
930,35.4565,-115.42763819095478,0.55014974,1,True,19.826686705811465
389,35.5585,-115.45477386934674,0.54991645,1,True,10.71062566592251
564,35.5435,-115.46080402010051,0.5492593,1,True,11.884290728187109
1094,35.4285,-115.47788944723618,0.54923993,1,True,18.47687469519162
1051,35.4325,-115.51306532663317,0.5491343,2,True,16.336975600080873
244,35.5685,-115.50301507537688,0.54835165,1,True,6.944482911038199
265,35.5675,-115.46281407035175,0.5479019,1,True,9.399049135701276
735,35.5105,-115.54020100502512,0.54763037,1,True,7.179330888224987
967,35.4475,-115.55326633165829,0.5468202,1,True,13.66580153997032
827,35.4865,-115.4497487437186,0.5467463,1,True,15.84794587764863
1075,35.4305,-115.51507537688443,0.54557556,2,True,16.467308161791024
514,35.548500000000004,-115.44371859296483,0.54543597,1,True,12.301947625603987
471,35.5525,-115.4286432160804,0.54534495,1,True,12.947438538127845
506,35.548500000000004,-115.5180904522613,0.54527193,1,True,5.78437599972258
272,35.5665,-115.48994974874373,0.54434186,1,True,8.401724914025637
1113,35.4265,-115.5,0.5418827,1,True,17.512114946962257
